name,stars,count_reviews,coordinate,latitude,longitude,category
Grand Cakung,4.3,7293,"-6.1867509,106.9563119,17",-6.1867509,106.9563119,mall
Lippo Plaza Kramat Jati,4.4,20526,"-6.2707582,106.865509,17",-6.2707582,106.865509,mall
Mall Bassura,4.6,3786,"-6.2243387,106.8754862,17",-6.2243387,106.8754862,mall
Mall Cipinang Indah,4.4,22797,"-6.2391779,106.8914201,17",-6.2391779,106.8914201,mall
Mall Graha Cijantung,4.6,6176,"-6.312635,106.8593199,17",-6.312635,106.8593199,mall
Pondok Kelapa Town Square,4.3,3298,"-6.2399018,106.9322158,17",-6.2399018,106.9322158,mall
Pusat Grosir Cililitan,4.4,2924,"-6.2624152,106.862649,17",-6.2624152,106.862649,mall
Tamini Square,4.4,429,"-6.2917347,106.878946,17",-6.2917347,106.878946,mall
Baywalk Mall,4.4,22341,"-6.1077048,106.7766316,17",-6.1077048,106.7766316,mall
Bella Terra Lifestyle Center,4.3,7623,"-6.1744509,106.8919871,17",-6.1744509,106.8919871,mall
Emporium Pluit,4.5,31064,"-6.1272711,106.7884009,17",-6.1272711,106.7884009,mall
Mall Artha Gading,4.5,49959,"-6.1457739,106.8893438,17",-6.1457739,106.8893438,mall
Mall Kelapa Gading,4.6,75003,"-6.1572666,106.9058514,17",-6.1572666,106.9058514,mall
Mall Of Indonesia,4.5,49233,"-6.1514549,106.88932,17",-6.1514549,106.88932,mall
Metro Sunter Plaza,4.5,1987,"-6.1369481,106.8705927,17",-6.1369481,106.8705927,mall
PIK Avenue,4.6,19587,"-6.1091684,106.7378339,17",-6.1091684,106.7378339,mall
Pluit Junction,4.2,11086,"-6.1191369,106.7750398,15",-6.1191369,106.7750398,mall
Pluit Village,4.4,23397,"-6.1164462,106.787045,17",-6.1164462,106.787045,mall
Sunter Mall,4.5,10293,"-6.137975,106.8682928,17",-6.137975,106.8682928,mall
Stasiun Ancol,4.2,217,"-6.1280046,106.8425386,17",-6.1280046,106.8425386,train_station
Stasiun Angke,4.1,525,"-6.14473,106.7983251,17",-6.14473,106.7983251,train_station
Stasiun Bojong Indah,4.1,20,"-6.1603888,106.7326629,17",-6.1603888,106.7326629,train_station
Stasiun Buaran,4.8,51,"-6.2153691,106.9211025,17",-6.2153691,106.9211025,train_station
Stasiun Cakung,4.7,288,"-6.218711,106.9493698,17",-6.218711,106.9493698,train_station
Stasiun Cawang,3.0,5,"-6.242039,106.8563564,17",-6.242039,106.8563564,train_station
Stasiun Cikini,4.5,1168,"-6.19851,106.8386651,17",-6.19851,106.8386651,train_station
Stasiun Cipinang,3.0,5,"-6.2176146,106.8643371,14",-6.2176146,106.8643371,train_station
Stasiun Duren Kalibata,4.4,1079,"-6.2553166,106.8524778,17",-6.2553166,106.8524778,train_station
Stasiun Duri,3.0,5,"-6.1560949,106.799051,17",-6.1560949,106.799051,train_station
Stasiun Gambir,4.6,7635,"-6.1765651,106.8280152,17",-6.1765651,106.8280152,train_station
Stasiun Gang Sentiong,4.5,30,"-6.1865303,106.8483518,17",-6.1865303,106.8483518,train_station
Stasiun Gondangdia,4.5,1359,"-6.18598,106.8300747,17",-6.18598,106.8300747,train_station
Stasiun Grogol,4.3,514,"-6.1620333,106.7867914,17",-6.1620333,106.7867914,train_station
Stasiun Jakarta Gudang,4.6,10,"-6.1326796,106.8133931,17",-6.1326796,106.8133931,train_station
Stasiun Jakarta Kota,4.5,99,"-6.1371358,106.8117116,17",-6.1371358,106.8117116,train_station
Stasiun Jatinegara,4.4,2488,"-6.2149238,106.8677154,17",-6.2149238,106.8677154,train_station
Stasiun Jayakarta,4.4,367,"-6.1412258,106.8204183,17",-6.1412258,106.8204183,train_station
Stasiun Juanda,4.5,1546,"-6.1667216,106.8278981,17",-6.1667216,106.8278981,train_station
Stasiun Kalideres,4.2,488,"-6.1660731,106.7012257,17",-6.1660731,106.7012257,train_station
Stasiun Kampung Bandan,4.1,812,"-6.1325539,106.8259793,17",-6.1325539,106.8259793,train_station
Stasiun Karet,4.1,616,"-6.2008189,106.8132011,17",-6.2008189,106.8132011,train_station
Stasiun Kebayoran,4.5,108,"-6.23734,106.7800851,17",-6.23734,106.7800851,train_station
Stasiun Kemayoran,4.1,758,"-6.1617338,106.8388182,17",-6.1617338,106.8388182,train_station
Stasiun Klender,4.1,81,"-6.2176573,106.9377412,17",-6.2176573,106.9377412,train_station
Stasiun Klender Baru,4.1,81,"-6.2176573,106.9377412,17",-6.2176573,106.9377412,train_station
Stasiun Kramat,4.6,440,"-6.1938115,106.8539574,17",-6.1938115,106.8539574,train_station
Stasiun Lenteng Agung,4.5,800,"-6.3303684,106.8322293,17",-6.3303684,106.8322293,train_station
Stasiun Mangga Besar,4.4,466,"-6.1498329,106.8243928,17",-6.1498329,106.8243928,train_station
Stasiun Manggarai,4.3,4645,"-6.2099019,106.8476453,17",-6.2099019,106.8476453,train_station
Stasiun Matraman,4.3,39,"-6.21249,106.8574151,17",-6.21249,106.8574151,train_station
Stasiun Palmerah,4.6,1396,"-6.20753,106.7948051,17",-6.20753,106.7948051,train_station
Stasiun Pasar Minggu,4.9,16,"-6.2836652,106.8421526,17",-6.2836652,106.8421526,train_station
Stasiun Pasar Minggu Baru,4.6,145,"-6.2628003,106.8492625,17",-6.2628003,106.8492625,train_station
