,name,stars,count_reviews,coordinate
88,Stasiun Cakung,4.7,288,"-6.218711,106.9493698,17"
89,Stasiun Cawang,3.0,5,"-6.242039,106.8563564,17"
90,Stasiun Cikini,4.5,1168,"-6.19851,106.8386651,17"
91,Stasiun Cipinang,3.0,5,"-6.2176146,106.8643371,14"
92,Stasiun Duren Kalibata,4.4,1079,"-6.2553166,106.8524778,17"
93,Stasiun Duri,3.0,5,"-6.1560949,106.799051,17"
94,Stasiun Gambir,4.6,7635,"-6.1765651,106.8280152,17"
95,Stasiun Gang Sentiong,4.5,30,"-6.1865303,106.8483518,17"
96,Stasiun Gondangdia,4.5,1359,"-6.18598,106.8300747,17"
97,Stasiun Grogol,4.3,514,"-6.1620333,106.7867914,17"
98,Stasiun Jakarta Gudang,4.6,10,"-6.1326796,106.8133931,17"
99,Stasiun Jakarta Kota,4.5,99,"-6.1371358,106.8117116,17"
100,Stasiun Jatinegara,4.4,2488,"-6.2149238,106.8677154,17"
101,Stasiun Jayakarta,4.4,367,"-6.1412258,106.8204183,17"
102,Stasiun Juanda,4.5,1546,"-6.1667216,106.8278981,17"
103,Stasiun Kalideres,4.2,488,"-6.1660731,106.7012257,17"
104,Stasiun Kampung Bandan,4.1,812,"-6.1325539,106.8259793,17"
105,Stasiun Karet,4.1,616,"-6.2008189,106.8132011,17"
106,Stasiun Kebayoran,4.5,108,"-6.23734,106.7800851,17"
107,Stasiun Kemayoran,4.1,758,"-6.1617338,106.8388182,17"
108,Stasiun Klender,4.1,81,"-6.2176573,106.9377412,17"
109,Stasiun Klender Baru,4.1,81,"-6.2176573,106.9377412,17"
110,Stasiun Kramat,4.6,440,"-6.1938115,106.8539574,17"
111,Stasiun Lenteng Agung,4.5,800,"-6.3303684,106.8322293,17"
112,Stasiun Mangga Besar,4.4,466,"-6.1498329,106.8243928,17"
113,Stasiun Manggarai,4.3,4645,"-6.2099019,106.8476453,17"
114,Stasiun Matraman,4.3,39,"-6.21249,106.8574151,17"
115,Stasiun Palmerah,4.6,1396,"-6.20753,106.7948051,17"
116,Stasiun Pasar Minggu,4.9,16,"-6.2836652,106.8421526,17"
117,Stasiun Pasar Minggu Baru,4.6,145,"-6.2628003,106.8492625,17"
118,Stasiun Pasar Senen,4.4,8742,"-6.1747,106.8417751,17"
119,Stasiun Pasoso,4.9,8,"-6.1094098,106.8814548,17"
120,Stasiun Pegangsaan,4.6,54,"-6.1568081,106.9122469,17"
121,Stasiun Pesing,3.0,5,"-6.1612837,106.7686988,17"
122,Stasiun Pondok Jati,4.1,254,"-6.2091932,106.8597089,17"
123,Stasiun Rajawali,4.2,332,"-6.145055,106.8341314,17"
124,Stasiun Rawa Buaya,3.0,5,"-6.1626667,106.7211309,17"
125,Stasiun Sawah Besar,4.3,459,"-6.16068,106.8250651,17"
126,Stasiun Sudirman,4.7,57,"-6.2015486,106.8171986,17"
127,Stasiun Sudirman Baru,4.7,57,"-6.201531,106.8170445,17"
128,Stasiun Sungai Lagoa,4.8,4,"-6.11201,106.8737803,17"
129,Stasiun Taman Kota,4.9,35,"-6.1594761,106.7541324,17"
130,Stasiun Tanah Abang,4.2,3181,"-6.1857021,106.8082787,17"
131,Stasiun Tanjung Barat,4.5,1215,"-6.3079138,106.83631,17"
132,Stasiun Tanjung Priuk,4.7,154,"-6.1109799,106.8786086,17"
133,Stasiun Tebet,4.8,395,"-6.2258624,106.8562387,17"
134,Stasiun Universitas Pancasila,4.6,9,"-6.3392527,106.831904,17"
135,Halte Busway ASMI,4.2,69,"-6.1717466,106.8861393,17"
136,Halte Busway Adam Malik,3.7,33,"-6.2365393,106.7450323,17"
137,Halte Busway Ahmad Yani Bea Cukai,4.4,34,"-6.20552,106.8711851,17"
138,Halte Busway Angkutan cepat bus,3.0,5,"-6.208428,106.7824432,15"
139,Halte Busway Atrium,5.0,1,"-6.17745,106.8383651,17"
140,Halte Busway BKN,4.4,36,"-6.2581174,106.8669566,17"
141,Halte Busway BNN,4.0,140,"-6.2458606,106.8692819,17"
142,Halte Busway Balai Kota,4.6,95,"-6.1805336,106.8248911,17"
143,Halte Busway Bandengan Pekojan,4.4,8,"-6.1363063,106.8009108,17"
144,Halte Busway Bank Indonesia,3.3,4,"-6.208428,106.7824432,15"
145,Halte Busway Bendungan Hilir,4.5,327,"-6.2170115,106.8126941,17"
146,Halte Busway Bermis,3.9,32,"-6.1781917,106.8959188,17"
147,Halte Busway Bidara Cina,3.1,27,"-6.2308916,106.8653037,17"
148,Halte Busway Buaran,4.0,40,"-6.2165363,106.9154375,16"
149,Halte Busway Budi Utomo,4.6,5,"-6.1671,106.8354651,17"
150,Halte Busway Buncit Indah,4.2,49,"-6.274338,106.8277305,17"
151,Halte Busway Bundaran HI,4.8,633,"-6.19302,106.8204251,17"
152,Halte Busway Bundaran Senayan,4.0,83,"-6.2263309,106.797724,16"
153,Halte Busway CSW,4.6,82,"-6.2399,106.7959151,17"
154,Halte Busway Cawang Ciliwung,4.4,24,"-6.242046,106.8611266,17"
155,Halte Busway Cawang Otista,4.5,11,"-6.2318333,106.8658624,17"
156,Halte Busway Cawang Sutoyo,4.1,43,"-6.24477,106.8734051,17"
157,Halte Busway Cawang UKI,4.2,75,"-6.2502247,106.8711252,17"
158,Halte Busway Cempaka Mas 2,3.9,68,"-6.1662652,106.8753692,17"
159,Halte Busway Cempaka Putih,4.2,29,"-6.1741826,106.8738911,17"
160,Halte Busway Cempaka Tengah,4.3,26,"-6.1703798,106.8640694,17"
161,Halte Busway Cempaka Timur,4.3,43,"-6.1703639,106.8710945,16"
162,Halte Busway Cikoko Stasiun Cawang,4.0,86,"-6.2435186,106.8566935,17"
163,Halte Busway Cipinang,3.0,5,"-6.2084024,106.6279276,11"
164,Halte Busway Cipinang Kebon Nanas,3.9,12,"-6.2316519,106.8737886,17"
165,Halte Busway Cipulir,3.0,5,"-6.2084263,106.751543,13"
166,Halte Busway Danau Agung,4.1,18,"-6.14687,106.8554751,17"
167,Halte Busway Departemen Kesehatan,4.0,63,"-6.22829,106.8307651,17"
168,Halte Busway Departemen Pertanian,4.3,107,"-6.29459,106.8195651,17"
169,Halte Busway Deplu,4.3,10,"-6.1734974,106.8321304,17"
170,Halte Busway Dispenda Samsat Barat,4.1,92,"-6.1546121,106.7355053,17"
171,Halte Busway Dukuh Atas 1,4.5,228,"-6.208428,106.7824432,15"
172,Halte Busway Duren Tiga,4.4,14,"-6.2519478,106.8243338,17"
173,Halte Busway Duri Kepa,4.6,28,"-6.1855168,106.7659337,17"
174,Halte Busway Enggano,4.3,91,"-6.1101326,106.8898505,17"
175,Halte Busway Flyover Jatinegara,4.1,10,"-6.2151586,106.8713174,17"
176,Halte Busway Flyover Klender,5.0,3,"-6.2135816,106.900085,17"
177,Halte Busway Flyover Raden Inten,4.4,47,"-6.2159501,106.9217428,17"
178,Halte Busway Flyover Raya Bogor,2.2,25,"-6.208428,106.7824432,15"
179,Halte Busway GOR Sumantri,4.1,66,"-6.2210012,106.8292792,17"
180,Halte Busway Galur,4.6,44,"-6.1741436,106.8522304,17"
181,Halte Busway Gambir 1,4.2,56,"-6.1745733,106.8277946,17"
182,Halte Busway Gambir 2,4.5,79,"-6.17893,106.8284851,17"
183,Halte Busway Garuda Taman Mini,4.6,148,"-6.2901606,106.8785878,17"
184,Halte Busway Gatot Subroto Jamsostek,3.9,54,"-6.2325848,106.8190251,17"
185,Halte Busway Gatot Subroto LIPI,4.3,51,"-6.2267718,106.8152369,17"
186,Halte Busway Gedong Panjang,4.6,12,"-6.1326323,106.803378,17"
187,Halte Busway Gelanggang Remaja,4.2,30,"-6.2353766,106.8653586,17"
188,Halte Busway Gelora Bung Karno,4.6,572,"-6.2242306,106.8032171,17"
189,Halte Busway Glodok,4.4,102,"-6.14341,106.8125551,17"
190,Halte Busway Grogol 1,4.2,139,"-6.1668132,106.7870674,17"
191,Halte Busway Grogol 2,3.8,42,"-6.1671539,106.7855059,17"
192,Halte Busway Gunung Sahari Mangga Dua,4.3,31,"-6.1364863,106.8240311,16"
193,Halte Busway Halimun,4.6,62,"-6.2051146,106.8307955,17"
194,Halte Busway Harmoni Sentral,4.2,188,"-6.1658067,106.8175986,17"
195,Halte Busway Imigrasi Jakarta Selatan,4.4,38,"-6.2569383,106.8255124,17"
196,Halte Busway Imigrasi Jakarta Timur,4.6,33,"-6.2146326,106.8797826,17"
197,Halte Busway Indosiar,4.1,191,"-6.16338,106.7725651,17"
198,Halte Busway Istiqlal,4.6,81,"-6.17225,106.8283351,17"
199,Halte Busway JORR,4.3,3,"-6.2360723,106.7524157,17"
