,name,stars,count_reviews,coordinate
353,RS Ciputra Citragarden,3.7,13,"-6.12366,106.7025251,17"
354,RS Dharmais,3.8,93,"-6.1867534,106.7953067,17"
355,RS dr. Soeharto Heerjan,4.4,309,"-6.1632727,106.785871,17"
356,RS Hermina Daan Mogot,4.5,3838,"-6.1528552,106.7096487,17"
357,RS Jakarta Eye Center Kedoya,4.1,492,"-6.1895967,106.7590232,17"
358,RS Mitra Keluarga Kalideres,3.0,5,"-6.1496819,106.6996512,17"
359,RS Pelni Petamburan,5.0,2,"-6.1935988,106.8010653,17"
360,RS Pendidikan Ukrida,4.5,480,"-6.1850692,106.7779047,17"
361,RS Siloam Kebon Jeruk,4.1,1752,"-6.19043,106.7604451,17"
362,RS Anggrek Mas,4.2,452,"-6.2030719,106.7700863,17"
363,RSIA Aries,3.0,4,"-6.1566834,106.8054217,17"
364,RSIA Harapan Kita,4.0,744,"-6.1847453,106.7964285,17"
365,RSIA Ibnu Sina,3.2,157,"-6.1603996,106.7935095,17"
366,RSU Bhakti Mulia,3.5,733,"-6.1995902,106.7980055,17"
367,RSU Graha Kedoya,3.9,1105,"-6.1683104,106.762354,17"
368,RSU Manuela,4.6,5,"-6.150455,106.8232349,17"
369,RSU Medika Permata Hijau,3.3,539,"-6.2181589,106.7753806,17"
370,RSU Patria Jakarta,3.2,325,"-6.1970767,106.7901063,17"
371,RSU Puri Indah,4.8,2249,"-6.208428,106.7824432,15"
372,RSU Puri Mandiri Kedoya,3.9,1105,"-6.1878588,106.758996,17"
373,RSU Royal Taruma,3.7,822,"-6.1664004,106.7829354,17"
374,RSU Sumber Waras,3.6,105,"-6.16626,106.7941851,17"
375,RSUD Cempakaputih,3.6,316,"-6.1847813,106.8698823,17"
376,RSUD Joharbaru,3.8,317,"-6.1816368,106.8479014,17"
377,RSUD Tanahabang,4.3,235,"-6.208428,106.7824432,15"
378,RSUD Tarakan Jakarta,3.6,1489,"-6.1718315,106.8077452,17"
379,RS Abdi Waluyo,4.4,1164,"-6.1898084,106.8267067,17"
380,RS Bina Estetika,4.4,50,"-6.1996312,106.8349365,17"
381,RS Dharma Jaya,2.5,2,"-6.225262,106.7417809,12"
382,RS Dharma Sakti,4.4,309,"-6.1684609,106.8126903,17"
383,RS FKG Universitas Indonesia,4.3,166,"-6.194311,106.8461242,17"
384,RS Islam Jakarta,3.9,98,"-6.2205677,106.9382226,17"
385,RS Jakarta Eye Center Menteng,4.0,434,"-6.198529,106.8342651,17"
386,RS Kramat Lima,3.9,273,"-6.1865649,106.8423743,18"
387,RS Kramat 128,3.9,273,"-6.1855402,106.841513,17"
388,RS Menteng Mitra Afia,3.6,246,"-6.1868957,106.83574,17"
389,RS Mitra Keluarga Kemayoran,4.0,1117,"-6.1519598,106.8559248,17"
390,RS Murni Teguh Sudirman,4.0,209,"-6.2095398,106.8168955,17"
391,RS Panti Raharja,5.0,1,"-6.195209,106.8325161,17"
392,RS Pertamina Jaya,4.0,369,"-6.1732937,106.8736188,17"
393,RS Primaya Evasari,4.2,671,"-6.1935465,106.8572092,17"
394,RS Prof. dr. Nizar,3.8,282,"3.1708704,101.6945788,17"
395,RS Proklamasi,3.9,371,"-6.2084024,106.6279276,11"
396,RS Radjak Salemba,3.9,1202,"-6.1936839,106.8495195,17"
397,RS RE. Martadinata,5.0,4,"-6.208428,106.7824432,15"
398,RS Sahid Sahirman,4.7,378,"-6.2098207,106.8165025,17"
399,RS Salemba Satu,4.4,166,"-6.1990958,106.8481028,17"
400,RS Yarsi Jakarta,4.5,621,"-6.1697669,106.8667308,17"
401,RSIA Angkasa,4.2,596,"-6.1801605,106.8170821,17"
402,RSIA Berkat Ibu,1.0,1,"-6.1873547,106.8438092,17"
403,RSIA Budi Kemuliaan,4.1,16,"-6.2084263,106.751543,13"
404,RSIA Tambak,4.3,316,"-6.2062368,106.8459016,17"
405,RSIA YPK Mandiri,4.0,263,"-6.1913687,106.8253281,17"
406,RSUD Jagakarsa,3.0,5,"-6.3160208,106.809307,17"
407,RSUD Jati Padang,4.1,274,"-6.2855433,106.8396894,17"
408,RSUD Kebayoran Baru,4.1,418,"-6.2655199,106.7960926,17"
409,RSUD Kebayoran Lama,4.7,686,"-6.2487219,106.783051,17"
410,RSUD Mampang Prapatan,3.8,300,"-6.2405762,106.8243309,17"
411,RSUD Pesanggrahan,3.7,532,"-6.258125,106.7542631,17"
412,RSUD Tebet,3.2,409,"-6.2316972,106.844064,17"
413,RS Agung,3.0,422,"-6.2091019,106.843846,17"
414,RS Ali Sibroh Malisi,3.4,381,"-6.3447513,106.8113011,17"
415,RS Aulia Jakarta,4.5,2262,"-6.3315821,106.8234635,17"
416,RS Avisena,4.1,75,"-6.2084024,106.6279276,11"
417,RS Bhayangkara Sespimma,3.7,3,"-6.2890101,106.7679326,17"
418,RS Brawijaya Duren Tiga,4.1,369,"-6.2533269,106.8385448,17"
419,RS Brawijaya Jakarta,4.6,1613,"-6.2245768,106.8453357,17"
420,RS Dharmawangsa,3.5,53,"-6.2551195,106.8000453,17"
421,RS dr. Suyoto Pusrehab Kemhan,3.9,15,"-6.2686839,106.7636885,17"
422,RS Gandaria,3.4,201,"-6.2440131,106.7880871,17"
423,RS Halimun,4.6,65,"-6.2063092,106.8313303,17"
424,RS Harapan Kartini,1.0,1,"-6.2856177,106.8145507,17"
425,RS Indah Medika,4.7,1665,"-6.229464,106.8456641,17"
426,RS Jakarta,4.0,730,"-6.2084263,106.751543,13"
427,RS Jakarta Medical Center,4.2,791,"-6.2713995,106.8276896,17"
428,RS Mayapada Jakarta,3.7,23,"-6.2976968,106.7830526,17"
429,RS Mayapada Kuningan,4.8,23,"-6.208428,106.7824432,15"
430,RS Medistra,4.1,836,"-6.2397217,106.8312558,17"
431,RS MMC Jakarta,4.0,412,"-6.208428,106.7824432,15"
432,RS Petukangan,3.6,295,"-6.208428,106.7824432,15"
433,RS Prikasih,3.9,780,"-6.3147011,106.7912588,17"
434,RS Prof. dr. Moestopo,4.3,18,"-6.2591667,106.762554,17"
435,RS Pusat Pertamina,4.1,911,"-6.2399349,106.7906262,17"
436,RS Setia Mitra,2.9,452,"-6.2812228,106.79326,17"
437,RS Siaga Raya,4.6,490,"-6.2729066,106.836669,17"
438,RS Siloam Asri,4.0,927,"-6.2544599,106.8297212,17"
439,RS Siloam Semanggi,3.9,2188,"-6.2190942,106.8146437,17"
440,RS Siloam TB Simatupang,4.2,1710,"-6.2922669,106.781868,17"
441,RS Tebet,4.7,1664,"-6.2428049,106.8476129,17"
442,RS Tria Dipa,3.3,292,"-6.2508174,106.8393142,17"
443,RS Yadika Kebayoran Lama,4.1,312,"-6.2551136,106.7750808,17"
444,RSIA Andhika,4.2,652,"-6.3442407,106.8117397,17"
445,RSIA Asih,4.4,2113,"-6.2090242,106.5362179,11"
446,RSIA Budhi Jaya,4.0,142,"-6.2188959,106.8425055,17"
447,RSIA Kartini,4.0,472,"-6.2383065,106.7672563,17"
448,RSIA Kemang Medical Care,3.9,321,"-6.2861621,106.8166354,17"
449,RSIA Panti Nugeraha,3.0,5,"-6.208428,106.7824432,15"
450,RSU Zahirah,3.3,636,"-6.3356887,106.8209434,17"
451,RSUD Cipayung,3.8,222,"-6.3072731,106.9028292,17"
452,RSUD Ciracas,3.5,289,"-6.345612,106.8712382,17"
453,RSUD Kramatjati,3.9,424,"-6.2867267,106.8596962,17"
454,RSUD Matraman,3.0,5,"-6.2064522,106.8636286,17"
455,RS Adhyaksa,4.2,763,"-6.3078373,106.8901166,17"
456,RS Admira,3.6,454,"-6.1769511,106.8914289,17"
457,RS Al-Fauzan,4.1,72,"-6.2997227,106.8666778,17"
458,RS Antam Medika,3.8,460,"-6.1927555,106.9001282,17"
459,RS Bedah Rawamangun,3.4,184,"-6.1963893,106.8829418,17"
460,RS Bina Waluya,4.4,163,"-6.3083197,106.8680732,17"
461,RS Columbia Asia Pulomas,4.3,1466,"-6.1821006,106.888708,17"
462,RS Dharma Nugraha,5.0,1,"-6.19649,106.8827791,17"
463,RS dr. Esnawan Antariksa,4.5,838,"-6.2570286,106.8891622,17"
464,RS dr. Euis,4.2,16,"-6.2453788,106.9402988,17"
465,RS Duren Sawit,3.8,444,"-6.2317751,106.9071263,17"
466,RS Haji Jakarta,3.5,523,"-6.2898748,106.8867052,17"
467,RS Harapan Bunda,3.9,131,"-6.30196,106.8654551,17"
468,RS Harapan Jayakarta,3.0,354,"-6.1949967,106.9036572,17"
469,RS Harum Sisma Medika,4.3,3,"-6.2479802,106.9073361,17"
470,RS Hermina Jatinegara,3.0,5,"-6.2207701,106.8623032,17"
471,RS Islam Jakarta Pondokkopi,3.9,98,"-6.22044,106.9378601,17"
472,RS Islam Klender,3.7,134,"-6.2221307,106.9305396,17"
473,RS Jantung Jakarta,4.7,1307,"-6.2002569,106.8527538,17"
474,RS Kartika Pulomas,3.1,172,"-6.1761579,106.8825485,17"
475,RS Ketergantungan Obat,4.1,180,"-6.3469159,106.8698506,17"
476,RS Mediros,3.6,85,"-6.1798748,106.901146,17"
477,RS Ridwan Meuraksa,3.2,11,"-6.2941843,106.8796939,17"
478,RS Olahraga Nasional,4.6,81,"-6.368591,106.8901863,17"
479,RS Omni Pulomas,4.3,1010,"-6.1802355,106.8819336,17"
480,RS Pengayoman Cipinang,3.9,52,"-6.2151391,106.8810422,17"
481,RS Premier Jatinegara,3.5,544,"-6.2216352,106.8661001,17"
482,RS Pusdikkes,3.7,143,"-6.2767365,106.8665843,17"
483,RS SMEC Jakarta,4.0,182,"-6.2084215,106.7103404,12"
484,RS Universitas Kristen Indonesia,5.0,1,"-6.2497149,106.8711283,18"
485,RS Yadika Pondokbambu,4.2,913,"-6.2372115,106.8964661,17"
486,RSIA Alvernia Agusta,4.2,59,"-6.1937598,106.889023,17"
487,RSIA Bunda Aliyah Pondokbambu,3.9,1424,"-6.2332843,106.894674,17"
488,RSIA El-Shama,3.0,5,"-6.208428,106.7824432,15"
489,RSIA Restu Kasih,3.4,1746,"-6.2655718,106.8639513,17"
490,RSIA Sammrie Basra,4.4,297,"-6.2293179,106.8946887,17"
491,RSIA Sayyida,4.1,201,"-6.2303997,106.9227888,17"
492,RSUD Cilincing,4.7,1502,"-6.1130193,106.9237312,17"
493,RSUD Pademangan,4.5,523,"-6.132825,106.8374721,17"
494,RSUD Tanjungpriok,4.1,332,"-6.1162048,106.8862664,17"
495,RSUD Tugu Koja,4.5,795,"-6.127472,106.9045007,17"
496,RS Atma Jaya,4.3,95,"-6.1261717,106.7901447,17"
497,RS Duta Indah,4.4,2025,"-6.1384578,106.7812044,17"
498,RS Hermina Podomoro,4.6,2288,"-6.1455087,106.8589036,17"
499,RS Islam Jakarta Sukapura,3.8,616,"-6.1397922,106.9182499,17"
500,RS Mitra Keluarga Kelapagading,4.5,3015,"-6.1520317,106.8947874,17"
501,RS Primasana,4.2,315,"-6.1142432,106.8871668,17"
502,RS Royal Progress,3.7,813,"-6.1393517,106.8629441,17"
503,RSIA Family,4.0,283,"-6.1336838,106.7879143,17"
504,RSIA Grand Family,4.2,421,"-6.1229641,106.7362202,17"
505,RSIA Santo Yusuf,3.4,132,"-6.1171359,106.878929,17"
506,RSU Firdaus,3.9,614,"-6.1561594,106.9205989,17"
507,RSU Gading Pluit,4.0,647,"-6.166163,106.9133011,17"
508,RSU Mulyasari,3.4,196,"-6.1290526,106.9039642,17"
509,RSU Pantai Indah Kapuk,4.2,1173,"-6.1117801,106.7503751,17"
510,RSU Pekerja,3.9,254,"-6.1451892,106.9206629,17"
511,RSU Pelabuhan Jakarta,3.0,572,"-6.124785,106.9151392,17"
512,RSU Pluit,4.9,52,"-6.125994,106.7973562,17"
513,RSU Port Medical Center,4.3,18,"-6.1098551,106.887434,17"
514,RSU Puri Medika,3.6,537,"-6.1289453,106.887647,17"
515,RSU Satya Negara,3.7,438,"-6.1388812,106.8589513,17"
516,RSU Sukmul Sisma Medika,3.5,257,"-6.112421,106.8795381,17"
517,RSUD Kepulauan Seribu,4.4,33,"-5.7448429,106.6108718,17"
518,RS Darurat Pulau Sebaru,3.0,5,"-6.1742049,106.7416781,17"
