,name,url,stars,count_reviews
16,Gajah Mada Plaza,"https://www.google.com/maps/place/Gajah+Mada+Plaza,+Jl.+Gajah+Mada,+RT.2%2FRW.1,+Petojo+Utara,+Kecamatan+Gambir,+Kota+Jakarta+Pusat,+Daerah+Khusus+Ibukota+Jakarta+10130/@-6.1606294,106.815616,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5df5a184df9:0xe6784896673144fb!8m2!3d-6.1608281!4d106.8183908!16s%2Fg%2F11b6_jk25r","Bintang 4,3 21.201 Ulasan","Bintang 4,3 21.201 Ulasan"
17,Grand Indonesia Shopping Town,"https://www.google.com/maps/search/grand+indonesia+shopping+town/@-6.208428,106.7824432,15z","Bintang 4,7 22.258 Ulasan","Bintang 4,7 22.258 Ulasan"
18,Green Pramuka Square,"https://www.google.com/maps/place/Green+Pramuka+Square+Mall/@-6.189148,106.8714391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f48f975dcb11:0xc1176b766df1697e!8m2!3d-6.189148!4d106.874014!16s%2Fg%2F11c5_0lkw0","Bintang 4,5",26.735 ulasan
19,ITC Cempaka Mas,"https://www.google.com/maps/place/ITC+Cempaka+Mas/@-6.1646511,106.8749821,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f51060961c7d:0xca4d17c9802f752e!8m2!3d-6.1646511!4d106.877557!16s%2Fg%2F11b6yx2ll6","Bintang 4,4",26.086 ulasan
20,ITC Mangga Dua,"https://www.google.com/maps/place/ITC+Mangga+Dua/@-6.1356852,106.8220263,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1e02081711a1:0xab408191f954d871!8m2!3d-6.1356852!4d106.8246012!16s%2Fg%2F11dybcvl93","Bintang 4,4",13.374 ulasan
21,ITC Roxy Mas,"https://www.google.com/maps/place/ITC+Roxy+Mas/@-6.166433,106.8004092,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7b8e66674b3:0x6ced474954906233!8m2!3d-6.166433!4d106.8029841!16zL20vMDV2Znlj","Bintang 4,5",24.238 ulasan
22,Mangga Dua Mall,"https://www.google.com/maps/place/Mangga+Dua+Mall/@-6.1370291,106.8217498,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5f8cafe5231:0x9c53d9645074bdfe!8m2!3d-6.1370291!4d106.8243247!16s%2Fg%2F1pty_gnc8","Bintang 4,4",23.895 ulasan
23,Mangga Dua Square,"https://www.google.com/maps/place/Mangga+2+Square/@-6.1387841,106.8290628,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5f709937b8b:0xcc24e8c546bb46a1!8m2!3d-6.1387841!4d106.8316377!16s%2Fg%2F122l89np","Bintang 4,3",30.440 ulasan
24,Pasar Pagi Mangga Dua,"https://www.google.com/maps/place/Pasar+Pagi+Mangga+Dua/@-6.1363272,106.8192986,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5902b2526c7:0xb8fb370ded0b3f63!8m2!3d-6.1363272!4d106.8218735!16s%2Fg%2F11bytshq1n","Bintang 4,4",11.191 ulasan
25,Plaza Atrium,"https://www.google.com/maps/place/Plaza+Atrium/@-6.1766586,106.8386162,17z/data=!3m2!4b1!5s0x2e69f435417853c1:0x7b3508d0232d0f9c!4m6!3m5!1s0x2e69f44a9fd8ba7f:0xfacaba2cca993e41!8m2!3d-6.1766586!4d106.8411911!16s%2Fg%2F1pp2wz_q0","Bintang 4,4",40.923 ulasan
26,Plaza Indonesia,"https://www.google.com/maps/place/Plaza+Indonesia/@-6.208428,106.7824432,15z/data=!3m1!5s0x2e69f4211614e4ed:0x7aefc330deff9bc0!4m6!3m5!1s0x2e69f42108e6d503:0x7d7fe17ad64a053f!8m2!3d-6.1938597!4d106.8219662!16s%2Fg%2F1wk0b6vz","Bintang 4,7",44.533 ulasan
27,Plaza Senayan,"https://www.google.com/maps/place/Plaza+Senayan/@-6.2254694,106.796839,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f14920b7d1cf:0x788e3a1eef75ac94!8m2!3d-6.2254694!4d106.7994139!16zL20vMGNtNXo0","Bintang 4,6",45.824 ulasan
28,Ratu Plaza,"https://www.google.com/maps/place/Ratu+Plaza/@-6.208428,106.7824432,15z/data=!4m6!3m5!1s0x2e69f14f3c69fe0d:0x1fa8acd75c6678b!8m2!3d-6.2266481!4d106.8015903!16zL20vMDlfcXpn","Bintang 4,2",13.368 ulasan
