provinsi,kota,kecamatan,kelurahan,nama_jalan,coordinate
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG JATI INDAH,"[-6.2599631, 106.773803]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG MASRIKI,"[-6.2626431, 106.7741125]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H SAIMAN,"[-6.2614855, 106.7741336]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JATI INDAH,"[-6.2599631, 106.773803]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL BANK EXIM,"[-6.263339, 106.7745935]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL CIPUTAT RAYA,"[-6.2867907, 106.7711849]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL JATI INDAH,"[-6.2599631, 106.773803]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL SAIMAN,"[-6.2614855, 106.7741336]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KP RW 03,"[-6.270737049999999, 106.78484451091174]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,SAIMAN,"[-6.2614855, 106.7741336]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,CIPUTAT RAYA,"[-6.2867907, 106.7711849]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG PONDOK PINANG TIMUR,"[-6.2629584, 106.7779198]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG II,"[-6.2659098, 106.7778075]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG III,"[-6.2655575, 106.7776097]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG KUNINGAN,"[-6.26395, 106.7775036]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG 2,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG 3,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG II,"[-6.2643578, 106.7751903]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG III,"[-6.2655575, 106.7776097]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG TIMUR,"[-6.2629584, 106.7779198]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KP PONDOK PINANG,"[5.34549, 100.235227]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG II,"[-6.2659098, 106.7778075]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG KUNINGAN I,"[-6.2630079, 106.7774041]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG,"[-6.2821368, 106.7720819]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG III,"[-6.2655575, 106.7776097]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS,"[-6.2625382, 106.779162]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS IX,"[-6.2625382, 106.779162]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG TIMUR,"[-6.2629584, 106.7779198]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK TIMUR,"[-6.2629584, 106.7779198]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG TIMUR,"[-6.2629584, 106.7779198]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS III,"[-6.2630692, 106.7788018]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS IV,"[-6.2638875, 106.7790829]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS VI,"[-6.2630923, 106.7779487]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS VII,"[-6.263622, 106.7784772]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG EMAS VIII,"[-6.2643446, 106.7785362]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG KUNINGAN IX,"[-6.26395, 106.7775036]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG KUNINGAN XI,"[-6.2637165, 106.7770394]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG EMAS,"[-6.26296065, 106.77816857825687]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG EMAS VII,"[-6.263622, 106.7784772]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG KUNINGAN IX,"[-6.26395, 106.7775036]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KARTIKA UTAMA,"[-6.2637995, 106.7834538]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG SUASA,"[-6.262428, 106.7792476]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG SUASA III,"[-6.262428, 106.7792476]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG SUASA IV,"[-6.2629664, 106.7801192]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL SULTAN ISKANDAR MUDA,"[-6.2634712, 106.7835643]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG EMAS I,"[-6.2638557, 106.7793127]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG SUASA V,"[-6.263294, 106.7797106]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,SULTAN ISKANDAR MUDA,"[-6.2634712, 106.7835643]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,ALAM ELOK,"[-6.2664964, 106.7809765]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM ELOK III,"[-6.2669595, 106.7819638]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM ELOK IX,"[-6.2670005, 106.782823]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL METRO PONDOK INDAH,"[-6.2885343, 106.7780891]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,ALAM ELOK III,"[-6.2669595, 106.7819638]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,ALAM ELOK IV,"[-6.2673102, 106.7808362]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,ALAM ELOK VIII,"[-6.2662491, 106.7806184]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM ELOK VII,"[-6.2660755, 106.7810236]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM ELOK VIII,"[-6.2662491, 106.7806184]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KARTIKA ALAM II,"[-6.2675811, 106.7801221]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KARTIKA UTAMA,"[-6.2637995, 106.7834538]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL GEDUNG PINANG,"[-6.2790832, 106.7779148]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK,"[-6.2654119, 106.77951]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK II,"[-6.2659098, 106.7778075]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK II.,"[-6.2659098, 106.7778075]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK III,"[-6.2663339, 106.7777669]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK IV,"[-6.266775, 106.7786041]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK VI,"[-6.2676349, 106.7780593]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK VII,"[-6.2679966, 106.7772642]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK VIII,"[-6.2684253, 106.77796]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG PERAK III,"[-6.2663339, 106.7777669]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG PERAK IV,"[-6.266775, 106.7786041]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG PERAK V,"[-6.2672059, 106.7783776]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG MASJID,"[-6.261536, 106.7791036]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG MASJID DARUSSALAM,"[-6.2669369, 106.77549]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG PONDOK PINANG,"[5.34549, 100.235227]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MASJID DARUSSALAM,"[-6.2669369, 106.77549]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG IV,"[-6.2667656, 106.7768466]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG V,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG VI,"[-6.2687566, 106.7751117]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG V,"[-6.2679137, 106.7759501]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG VI,"[-6.2687566, 106.7751117]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG KECIL,"[-6.2830376, 106.7874314]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG KRAMAT,"[-6.2657433, 106.7724309]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG KRAMAT II,"[-6.2653661, 106.7719923]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H MUHI,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H MUHI RAYA,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JALAN KRAMAT 1,"[-6.2657433, 106.7724309]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI I,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI II,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI IV,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI RAYA,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI V,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI VII 15,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI X,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI XI,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H. MUHI X,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H.MUHI V,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL HAJI MUHI 8A,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KRAMAT,"[-6.2657433, 106.7724309]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KRAMAT II,"[-6.2653661, 106.7719923]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MUHI,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MUHI VIII,"[-6.2655682, 106.7704025]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG MIDI,"[-6.2637946, 106.7797619]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H GODEN,"[-6.2668647, 106.7718002]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H NURISAN,"[-6.2683281, 106.7744264]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL GODEN,"[-6.2668647, 106.7718002]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL GODEN IV,"[-6.2668647, 106.7718002]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI B,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI VI,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H MUHI X1,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL H. MUHI RAYA,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL HAJI NAIMUN,"[-6.2688821, 106.7720939]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MUHI IX,"[-6.2678444, 106.7704877]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MUHI RAYA,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MUHI VI,"[-6.2668946, 106.7708763]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL NAIMUN,"[-6.2688821, 106.7720939]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,"NURISAN,H","[-6.2683281, 106.7744264]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H MIDAR,"[-6.2696279, 106.7727619]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H NAIMUN,"[-6.2688821, 106.7720939]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H. MIDAR,"[-6.2696279, 106.7727619]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H. NAIMUN,"[-6.2688821, 106.7720939]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL BANAN,"[-6.2729178, 106.7740698]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL HAJI. MIDAR,"[-6.2696279, 106.7727619]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL MIDAR,"[-6.2696279, 106.7727619]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL SMP,"[-6.2704016, 106.7732282]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL TANAH ARA,"[-6.2719715, 106.7737697]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KP RW 12,"[-6.271968749999999, 106.77329874513092]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,TANAH ARA,"[-6.2719715, 106.7737697]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KARTIKA PINANG,"[-6.264193, 106.7827394]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG 7,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG RAYA,"[-6.2867907, 106.7711849]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK PINANG VII,"[-6.2696279, 106.7758368]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL.PONDOK PINANG VI,"[-6.2687566, 106.7751117]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG RAYA,"[-6.2867907, 106.7711849]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PONDOK PINANG VII,"[-6.2696279, 106.7758368]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KARTIKA PINANG III,"[-6.2696863, 106.7777268]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG I,"[-6.2664634, 106.7723204]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG NIKEL,"[-6.2711497, 106.7768429]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG NIKEL II,"[-6.2707456, 106.7776609]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG NIKEL III,"[-6.2707456, 106.7776609]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG NIKEL IV,"[-6.2707333, 106.7772464]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG PERAK IX,"[-6.2688368, 106.7779194]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL TAMAN PINANG NIKEL,"[-6.2720805, 106.777739]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG NIKEL,"[-6.2711497, 106.7768429]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,PINANG PERAK IX,"[-6.2688368, 106.7779194]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,ALAM SEGAR X,"[-6.2693072, 106.7793705]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM SEGAR,"[-6.2681402, 106.7804858]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM SEGAR VII,"[-6.2681585, 106.7809246]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM SEGAR VIII,"[-6.2693611, 106.7815046]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KARTIKA ALAM III,"[-6.2697733, 106.7804128]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KARTIKA III,"[-6.2696863, 106.7777268]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KARTIKA ALAM II,"[-6.2675811, 106.7801221]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,ALAM SEGAR I,"[-6.2694638, 106.7827977]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM PERMAI IX,"[-6.2705569, 106.7805862]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL ALAM SEGAR III,"[-6.2695038, 106.7823431]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,METRO ALAM V,"[-6.2710127, 106.7803751]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL METRO ALAM,"[-6.273249, 106.7826227]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL METRO ALAM VII,"[-6.2710374, 106.7792994]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL METRO ALAM VIII,"[-6.2737394, 106.7792226]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL TAMAN METRO ALAM,"[-6.2738631, 106.7806499]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL METRO ALAM IX,"[-6.2742349, 106.779917]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,METRO ALAM X,"[-6.2741002, 106.7816256]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GEDUNG PINANG,"[-6.2790832, 106.7779148]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG MERAH,"[-6.2737235, 106.7764939]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG MERAH III,"[-6.2730218, 106.7769384]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG MERAH VII,"[-6.2737235, 106.7764939]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PINANG MERAH VIII,"[-6.2745119, 106.7775211]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KARTIKA PINANG,"[-6.2637995, 106.7834538]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KARTIKA UTAMA V,"[-6.2637995, 106.7834538]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H MINAN,"[-6.2727094, 106.775471]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,H. MINAN,"[-6.2727094, 106.775471]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL GEDUNG RAYA HIJAU,"[-6.2790832, 106.7779148]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG LANGGAR,"[-6.2760746, 106.7735304]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,GG PONDOK SETIA,"[-6.2750712, 106.7739323]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL GEDUNG HIJAU VI,"[-6.2788912, 106.7732472]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL PONDOK SETIA,"[-6.2750712, 106.7739323]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL VILLA HIJAU,"[-6.2811075, 106.7728763]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,TB SIMATUPANG,"[-6.29049955, 106.78324583073862]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL BENO,"[-6.274929, 106.7731587]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL DEPLU RAYA,"[-6.2733249, 106.773798]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KAMPUNG BARU,"[-6.2745982, 106.7702537]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KAMPUNG BARU II,"[-6.2744102, 106.7722149]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL KAMPUNG BARU III,"[-6.2745982, 106.7702537]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL RAYA CIPUTAT,"[-6.2606279, 106.7763902]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,JL SUBUR,"[-6.2755174, 106.7714356]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KAMPUNG BARU,"[-6.2745982, 106.7702537]"
DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,KP BARU,"[-6.2745982, 106.7702537]"
